PyradiomicsFeature,IBSIName,Unit,Notes
original_shape_Elongation,Fmorph.pca.elongation,,
original_shape_Flatness,Fmorph.pca.flatness,,
original_shape_LeastAxisLength,Fmorph.pca.least,mm,
original_shape_MajorAxisLength,Fmorph.pca.maj.axis,mm,
original_shape_Maximum2DDiameterColumn,Fmorph.pyrad.diam.max2Dcolumn,mm,
original_shape_Maximum2DDiameterRow,Fmorph.pyrad.diam.max2Drow,mm,
original_shape_Maximum2DDiameterSlice,Fmorph.pyrad.diam.max2Dslice,mm,
original_shape_Maximum3DDiameter,Fmorph.diam,,
original_shape_MeshVolume,Fmorph.volume,mm(3),
original_shape_VoxelVolume,Fmorph.vol.approx,mm(3),
original_shape_MinorAxisLength,Fmorph.pca.min.axis,,
original_shape_Sphericity,Fmorph.sphericity,,
original_shape_SurfaceArea,Fmorph.area.mesh,mm(2),
original_shape_SurfaceVolumeRatio,Fmorph.av,mm(2/3),
original_firstorder_10Percentile,Fstat.p10,,
original_firstorder_90Percentile,Fstat.p90,,
original_firstorder_Energy,Fstat.energy,,
original_firstorder_Entropy,Fih.entropy,,
original_firstorder_InterquartileRange,Fstat.iqr,,
original_firstorder_Kurtosis,Fstat.kurt,,
original_firstorder_Maximum,Fstat.max,,
original_firstorder_MeanAbsoluteDeviation,Fstat.mad,,
original_firstorder_Mean,Fstat.mean,,
original_firstorder_Median,Fstat.median,,
original_firstorder_Minimum,Fstat.min,,
original_firstorder_Range,Fstat.range,,
original_firstorder_RobustMeanAbsoluteDeviation,Fstat.rmad,,
original_firstorder_RootMeanSquared,Fstat.rms,,
original_firstorder_Skewness,Fstat.skew,,
original_firstorder_TotalEnergy,Fstat.pyrad.totalenergy,,
original_firstorder_Uniformity,Fih.uniformity,,
original_firstorder_Variance,Fih.var,,
original_glcm_Autocorrelation,Fcm.auto.corr,,
original_glcm_ClusterProminence,Fcm.clust.prom,,
original_glcm_ClusterShade,Fcm.clust.shade,,
original_glcm_ClusterTendency,Fcm.clust.tend,,
original_glcm_Contrast,Fcm.contrast,,
original_glcm_Correlation,Fcm.corr,,
original_glcm_DifferenceAverage,Fcm.diff.avg,,
original_glcm_DifferenceEntropy,Fcm.diff.entr,,
original_glcm_DifferenceVariance,Fcm.diff.var,,
original_glcm_Id,Fcm.inv.diff,,
original_glcm_Idm,Fcm.inv.diff.mom,,
original_glcm_Idmn,Fcm.inv.diff.mom.norm,,
original_glcm_Idn,Fcm.inv.diff.norm,,
original_glcm_Imc1,Fcm.info.corr.1,,
original_glcm_Imc2,Fcm.info.corr.2,,
original_glcm_InverseVariance,Fcm.inv.var,,
original_glcm_JointAverage,Fcm.joint.avg,,
original_glcm_JointEnergy,Fcm.energy,,
original_glcm_JointEntropy,Fcm.joint.entr,,
original_glcm_MaximumProbability,Fcm.joint.max,,
original_glcm_SumAverage,Fcm.sum.avg,,
original_glcm_SumEntropy,Fcm.sum.entr,,
original_glcm_SumSquares,Fcm.sum.var,,
original_glrlm_GrayLevelNonUniformity,Frlm.glnu,,
original_glrlm_GrayLevelNonUniformityNormalized,Frlm.glnu.norm,,
original_glrlm_GrayLevelVariance,Frlm.gl.var,,
original_glrlm_HighGrayLevelRunEmphasis,Frlm.hgre,,
original_glrlm_LongRunEmphasis,Frlm.lre,,
original_glrlm_LongRunHighGrayLevelEmphasis,Frlm.lrhge,,
original_glrlm_LongRunLowGrayLevelEmphasis,Frlm.lrlge,,
original_glrlm_LowGrayLevelRunEmphasis,Frlm.lgre,,
original_glrlm_RunEntropy,Frlm.rl.entr,,
original_glrlm_RunLengthNonUniformity,Frlm.rlnu,,
original_glrlm_RunLengthNonUniformityNormalized,Frlm.rlnu.norm,,
original_glrlm_RunPercentage,Frlm.r.perc,,
original_glrlm_RunVariance,Frlm.rl.var,,
original_glrlm_ShortRunEmphasis,Frlm.sre,,
original_glrlm_ShortRunHighGrayLevelEmphasis,Frlm.srhge,,
original_glrlm_ShortRunLowGrayLevelEmphasis,Frlm.srlge,,
original_glszm_GrayLevelNonUniformity,Fszm.glnu,,
original_glszm_GrayLevelNonUniformityNormalized,Fszm.glnu.norm,,
original_glszm_GrayLevelVariance,Fszm.gl.var,,
original_glszm_HighGrayLevelZoneEmphasis,Fszm.hgze,,
original_glszm_LargeAreaEmphasis,Fszm.lze,,
original_glszm_LargeAreaHighGrayLevelEmphasis,Fszm.lzhge,,
original_glszm_LargeAreaLowGrayLevelEmphasis,Fszm.lzlge,,
original_glszm_LowGrayLevelZoneEmphasis,Fszm.lgze,,
original_glszm_SizeZoneNonUniformity,Fszm.zsnu,,
original_glszm_SizeZoneNonUniformityNormalized,Fszm.zsnu.norm,,
original_glszm_SmallAreaEmphasis,Fszm.sze,,
original_glszm_SmallAreaHighGrayLevelEmphasis,Fszm.szhge,,
original_glszm_SmallAreaLowGrayLevelEmphasis,Fszm.szlge,,
original_glszm_ZoneEntropy,Fszm.zs.entr,,
original_glszm_ZonePercentage,Fszm.z.perc,,
original_glszm_ZoneVariance,Fszm.zs.var,,
original_gldm_DependenceEntropy,Fdzm.de,,
original_gldm_DependenceNonUniformity,Fdzm.zdnu,,
original_gldm_DependenceNonUniformityNormalized,Fdzm.zdnu.norm,,
original_gldm_DependenceVariance,Fdzm.zd.var,,
original_gldm_GrayLevelNonUniformity,Fdzm.glnu,,
original_gldm_GrayLevelVariance,Fdzm.gl.var,,
original_gldm_HighGrayLevelEmphasis,Fdzm.hgze,,
original_gldm_LargeDependenceEmphasis,Fdzm.lde,,
original_gldm_LargeDependenceHighGrayLevelEmphasis,Fdzm.ldhge,,
original_gldm_LargeDependenceLowGrayLevelEmphasis,Fdzm.ldlge,,
original_gldm_LowGrayLevelEmphasis,Fdzm.lgze,,
original_gldm_SmallDependenceEmphasis,Fdzm.sde,,
original_gldm_SmallDependenceHighGrayLevelEmphasis,Fdzm.sdhge,,
original_gldm_SmallDependenceLowGrayLevelEmphasis,Fdzm.sdlge,,
original_ngtdm_Busyness,Fngt.busyness,,
original_ngtdm_Coarseness,Fngt.coarseness,,
original_ngtdm_Complexity,Fngt.complexity,,
original_ngtdm_Contrast,Fngt.contrast,,
original_ngtdm_Strength,Fngt.strength,,
